Untuk tipe periode ""Berulang"", tanggal berakhir harus kelipatan dari jumlah hari. Contoh: tanggal mulai = 2021-05-01, jumlah hari = 10 hari, jika kamu ingin pengaturan ini diulang 2x (3 periode), tanggal berakhir = 2021-05-30.",
688829128,Bosh Arm GLpro,71161360766,,,,29200,,24,0,,,,,
683282666,Mangkok Ganda Jupiter MX,61161374904,,,,183600,,89,0,,,,,
682787142,Mangkok Kopling Ganda Supra Fit/Legenda/Revo Lama,61161374903,,,,45900,,36,0,,,,,
672549875,"Mangkok Ganda Jupiter Z, Crypton, Vega R, Vega R New",71161360744,,,,165200,,23,0,,,,,
632167823,Noken As Jupiter Z,51161374984,,,,94000,,50,0,,,,,
632160167,Pelatuk Klep Set Kharisma/Supra X 125,71161360771,,,,84200,,12,0,,,,,
632153748,Kiprok/Regulator Mio,61161374908,,,,37800,,20,0,,,,,
632145499,Rante Keteng Thunder 125,61161374906,,,,61000,,49,0,,,,,
632119051,Pelatuk Klep Set Mio/Sporty/Smile/Mio Soul/Fino/Nouvo,71161360747,,,,45900,,34,0,,,,,
605324199,Bendit Stater Satria Fu 150,61161374902,,,,76700,,67,0,,,,,
605307226,Bendit Stater Supra/Grand/Supra Fit/Legenda/Revo Lama/Tiger/GLpro,61160993054,,,,40000,,82,0,,,,,
589249512,Kampas Kopling 5pcs Gl100/Glpro/Megapro,71160992993,,,,45400,,50,0,,,,,
589243919,Kampas Kopling Set 4Pcs Jupiter Mx,61160993070,,,,51300,,69,0,,,,,
589237908,Kampas Kopling 3pcs Revo Absolute/Blade Old,61160993055,,,,48600,,88,0,,,,,
588468556,Spull Assy Smash,61160993065,,,,99400,,50,0,,,,,
588462804,Spull Assy Supra/Grand/Legend/Revo/Supra Fit New,31160998620,,,,99400,,46,0,,,,,
588454000,Spull Assy Shogun 125,51160993061,,,,99400,,50,0,,,,,
588449200,Spull Assy Supra X 125/Karisma,41160998573,,,,99400,,35,0,,,,,
588441429,Spull Assy Jupiter MX,41160998570,,,,105300,,33,1,,,,,
588435058,Spull Assy Jupiter,51160993059,,,,104800,,47,0,,,,,
588428051,Lampu Sen/Senja 9 Eye Led Blue/White 12 Volt,213760498042,"Biru,Standar",,,16200,,84,0,,,,,
588428051,Lampu Sen/Senja 9 Eye Led Blue/White 12 Volt,213760498041,"Putih,Standar",,,16200,,89,,,,,,
588119330,Dinamo Stater Assy Mio/Soul/Xeon/Sporty,41160998541,,,,180900,,33,0,,,,,
588110641,Dinamo Stater Assy Jupiter MX/Vixion,41160998584,,,,158800,,23,0,,,,,
588101938,Dinamo Stater Assy Grand/Supra X,61160993072,,,,166300,,33,0,,,,,
588094625,Dinamo Stater Assy Vega ZR/Jupiter Z New,61160993063,,,,166300,,35,0,,,,,
588087800,Dinamo Stater Assy Supra X 125/Kharisma,41160998564,,,,178200,,21,0,,,,,
588080554,Dinamo Stater Assy Beat/Vario/Scoopy,61160993060,,,,158800,,33,0,,,,,
579242740,Bearings/Lahar 6200 2RS,41160998568,,,,8600,,50,0,,,,,
579236780,Bearings/Lahar 6004 2RS,41160998578,,,,10300,,44,0,,,,,
579229148,Bearings/Lahar 6204 2RS,61160993062,,,,18900,,49,0,,,,,
579222830,Bearings/Lahar 6303 2RS,41160998544,,,,24800,,36,0,,,,,
579215773,Bearings/Lahar 6905 2RS,61160993058,,,,15100,,29,0,,,,,
579209229,Bearings/Lahar 6201 2RS,41160998539,,,,10300,,43,0,,,,,
579197973,Bearings/Lahar 6205 LLU,61160993051,,,,20500,,29,0,,,,,
579191365,Saklar Kanan Scooopy,61160993092,,,,68000,,9,0,,,,,
562434960,Kampas Rem Depan/Dispad Mio 125/M3/Mio J/Soul GT,31160998624,,,,58300,,12,0,,,,,
562421889,Kampas Rem Depan/Dispad Jupiter Mx/Mio Sporty/Vixion/Vega ZR,61160993001,,,,58300,,2,0,,,,,
